Torque,Torque
X,Y
2.470315398886827,30.339337700145556
3.2105751391465684,30.339337700145556
3.9508348794063064,30.214883551673942
4.691094619666048,30.012645560407567
5.431354359925789,29.740402110625904
6.171614100185527,29.65483988355167
6.911873840445269,29.717066957787477
7.65213358070501,30.035980713245994
8.392393320964748,30.42489992721979
9.13265306122449,30.6815866084425
9.872912801484231,30.689364992721977
10.61317254174397,30.549354075691408
11.35343228200371,30.323780931586604
12.093692022263452,30.067094250363898
12.83395176252319,30.012645560407567
13.574211502782932,30.067094250363898
14.314471243042673,30.27711062590975
15.054730983302411,30.339337700145556
15.794990723562153,30.27711062590975
16.535250463821896,30.067094250363898
17.275510204081634,29.79485080058224
18.015769944341372,29.647061499272194
18.75602968460111,29.678175036390098
19.496289424860855,29.942640101892284
20.236549165120593,30.339337700145556
20.97680890538033,30.634916302765646
21.717068645640076,30.70492176128093
22.457328385899814,30.588245997088787
23.197588126159552,30.354894468704508
23.937847866419297,30.105986171761277
24.678107606679035,29.989310407569135
25.418367346938773,30.051537481804946
26.158627087198518,30.19932678311499
26.898886827458256,30.339337700145556
27.639146567717994,30.2926673944687
28.37940630797774,30.105986171761277
29.119666048237477,29.857077874818046
29.859925788497215,29.678175036390098
30.60018552875696,29.662618267831146
31.340445269016698,29.872634643376998
32.080705009276436,30.25377547307132
32.82096474953618,30.588245997088787
33.56122448979592,30.70492176128093
34.30148423005566,30.650473071324598
35.0417439703154,30.41712154294032
35.78200371057514,30.160434861717608
36.52226345083488,30.012645560407567
37.26252319109462,30.02820232896652
38.00278293135436,30.207105167394463
38.7430426716141,30.339337700145556
39.483302411873844,30.33155931586608
40.22356215213358,30.13709970887918
40.96382189239332,29.91152656477438
41.704081632653065,29.701510189228525
42.4443413729128,29.63928311499272
43.18460111317254,29.81040756914119
43.924860853432286,30.168213245997084
44.66512059369202,30.52601892285298
45.40538033395176,30.70492176128093
46.14564007421151,30.65825145560407
46.885899814471244,30.43267831149927
47.62615955473099,30.222661935953415
48.36641929499073,30.020423944687042
49.106679035250465,30.020423944687042
49.84693877551021,30.129321324599708
50.58719851576994,30.323780931586604
51.327458256029686,30.339337700145556
52.06771799628943,30.18377001455604
52.80797773654916,29.989310407569135
53.54823747680891,29.73262372634643
54.28849721706865,29.63928311499272
55.02875695732838,29.740402110625904
55.76901669758813,30.090429403202325
56.50927643784787,30.47157023289665
57.249536178107604,30.6815866084425
57.98979591836735,30.689364992721977
58.730055658627094,30.479348617176125
59.470315398886825,30.261553857350798
60.21057513914657,30.051537481804946
60.950834879406315,29.997088791848615
61.691094619666046,30.105986171761277
62.43135435992579,30.300445778748177
63.171614100185536,30.339337700145556
63.91187384044527,30.214883551673942
64.65213358070501,30.020423944687042
65.39239332096476,29.779294032023287
66.13265306122449,29.631504730713242
66.87291280148423,29.709288573508005
67.61317254174398,29.997088791848615
68.35343228200371,30.393786390101887
69.09369202226345,30.66602983988355
69.8339517625232,30.70492176128093
70.57421150278293,30.564910844250363
71.31447124304268,30.323780931586604
72.05473098330242,30.067094250363898
72.68923933209648,30.0017558224163
